calendar_day,test_group,num_players,game_round,total_purchases
"Apr 21, 2017",A,4712474,62121445,143665
"Apr 22, 2017",A,4749355,62617845,146276
"Apr 22, 2017",B,1186037,15627478,36460
"Apr 23, 2017",A,4775491,62948662,145142
"Apr 24, 2017",A,4809514,63406920,146766
"Apr 24, 2017",B,1200400,15812621,36515
"Apr 25, 2017",A,4843440,63860262,147152
"Apr 25, 2017",B,1208149,15920316,37088
"Apr 26, 2017",A,4876323,64279406,149561
"Apr 26, 2017",B,1217660,16037296,38149
"Apr 27, 2017",A,4916502,64808675,150433
"Apr 28, 2017",A,4946430,65217800,153269
"Apr 28, 2017",B,1235062,16279952,38163
"Apr 29, 2017",A,4982431,65678902,152490
"Apr 29, 2017",B,1243316,16379180,38428
"Apr 30, 2017",A,5019972,66160964,151950
"Apr 30, 2017",B,1252997,16513049,39397
"May 1, 2017",A,5050040,66576333,154159
"May 1, 2017",B,1261049,16608703,38772
"May 2, 2017",A,5087742,67061434,157094
"May 2, 2017",B,1270550,16734916,39020
"May 3, 2017",A,5127869,67578312,157226
"May 3, 2017",B,1280640,16879855,38803
"May 4, 2017",A,5204864,68597770,159035
"May 4, 2017",B,1298934,17040715,41374
"May 5, 2017",A,5194697,68498045,158282
"May 6, 2017",A,5215813,68755819,158504
"May 6, 2017",B,1302044,16858413,44248
"May 7, 2017",A,5226398,68909966,160310
"May 7, 2017",B,1305102,16871736,45606
"May 8, 2017",A,5215263,68769274,157115
"May 8, 2017",B,1302757,16823838,44778
"May 9, 2017",A,5210534,68672742,157023
"May 9, 2017",B,1301980,16807837,44868
"May 10, 2017",A,5227449,68887329,159021
"May 10, 2017",B,1305837,16874659,44568
"May 11, 2017",A,5211132,68685805,157424
"May 11, 2017",B,1302930,16832809,42785
"May 12, 2017",A,5227758,68887849,159667
"May 12, 2017",B,1305625,16869719,43984
"May 13, 2017",A,5236714,69054607,160619
"May 13, 2017",B,1308633,16895284,42932
"May 14, 2017",A,5240308,69095321,159171
"May 14, 2017",B,1309624,16906441,42640
"May 15, 2017",A,5234648,69010862,161162
"May 15, 2017",B,1307366,16872654,41798
"May 16, 2017",A,5243203,69101282,162540
"May 16, 2017",B,1310979,16930365,42111
"May 17, 2017",A,5249168,69198145,160636
"May 17, 2017",B,1311272,16938637,41527
"May 18, 2017",A,5239689,69088214,157253
"May 18, 2017",B,1308298,16887913,40935
"May 19, 2017",A,5262904,69387683,160622
"May 19, 2017",B,1313058,16957988,40901
"May 20, 2017",A,5245425,69161534,157753
"May 20, 2017",B,1310664,16929229,41401
"May 21, 2017",A,5257784,69316223,158607
"May 22, 2017",A,5275864,69545074,162213
"May 22, 2017",B,1318261,17039586,40592
"May 21, 2017",B,1313019,16950609,40464
"May 5, 2017",B,1297264,16868794,43321
"Apr 27, 2017",B,1226673,16145902,37429
"Apr 23, 2017",B,1192781,15702064,36473
"Apr 21, 2017",B,1177622,15514670,36246
"Apr 20, 2017",B,1171345,15438336,36089
"Apr 20, 2017",A,4687231,61824315,142690